"","AreaCode","grand_mean","health_outcomes","health_outcomes.rank","overall.rank","risk_factors","risk_factors.rank","social_determinants","social_determinants.rank"
"107","E09000017",0.355028840605199,0.30091407528932,109,125,0.410126441126232,129,0.354046005400044,124
"108","E09000018",0.141873391171538,-0.159904944388422,54,94,0.494633182436391,136,0.0908919354666435,84
"109","E09000019",-0.023722545526697,0.136879932431304,84,67,0.00997512187901672,79,-0.218022690890412,48
"110","E09000020",0.601840562155271,1.18729348672388,150,145,0.785195577702773,148,-0.166967377960843,52
"111","E09000021",0.498296969972313,0.21562195465691,96,139,0.801368733177527,149,0.477900222082502,135
"112","E09000022",0.126344284240166,0.129089886643556,82,91,0.330687209713983,119,-0.0807442436370426,67
"113","E09000023",0.128005699021757,0.150029826613437,88,92,0.138317042791052,94,0.0956702276607824,85
"114","E09000024",0.442042992493043,0.394617942794804,122,133,0.54838396201308,141,0.383127072671244,128
"115","E09000025",0.00434303797906725,0.0842033124181453,76,72,0.256743240782049,111,-0.327917439262992,27
"116","E09000026",0.242763616173336,0.321986965905725,112,112,0.342002273270217,120,0.0643016093440671,81
"117","E09000027",0.81184272042243,0.91280082014332,149,150,0.824198124202444,150,0.698529216921525,147
"118","E09000028",0.153911997487328,0.206461319152853,95,99,0.290511962639588,116,-0.0352372893304586,72
"119","E09000029",0.345090449188964,0.216940230042091,97,124,0.450426274676423,133,0.367904842848379,127
"120","E09000030",-0.0447604648175775,-0.184890761598013,53,63,0.507648927257091,137,-0.45703956011181,14
"121","E09000031",0.02211440098774,-0.131101137248867,56,74,0.273909209834709,112,-0.0764648696226221,69
"122","E09000032",0.426724452521325,0.3566142975587,118,131,0.633289728113307,146,0.290269331891966,118
"123","E09000033",0.329285501362894,0.777685448213973,146,122,0.365102402319171,123,-0.154931346444461,56
"124","E10000002",0.581442079121017,0.557003349971234,138,143,0.508620263896327,138,0.678702623495488,146
"125","E10000003",0.433193517653784,0.467118820435623,128,132,0.360488195013842,122,0.471973537511887,134
"126","E10000006",-0.0872816093990208,0.132552423829212,83,58,-0.315510922371897,29,-0.0788863296543767,68
"127","E10000007",0.0322829179395407,0.0749031038066131,75,75,-0.121221054176716,57,0.143166704188725,96
"128","E10000008",0.21430600526913,0.246519619819123,99,109,0.15742202893027,98,0.238976367057998,109
"129","E10000009",0.25570273275026,0.2544549339798,102,114,0.0302655939834652,80,0.482387670287514,136
"130","E10000011",0.0800562635185238,0.260146987021106,103,83,-0.131956972412702,55,0.111978775947168,89
"131","E10000012",0.177763039365661,0.274542039960352,104,101,-0.00217982862706151,75,0.260926906763693,110
"132","E10000013",0.29254715281914,0.518481608159068,133,119,0.165314930925775,100,0.193844919372576,102
"133","E10000014",0.423889241093847,0.470861823814548,130,130,0.180316947430996,103,0.620488952035996,143
"134","E10000015",0.473457963477873,0.473672968561217,131,137,0.376955337218965,127,0.569745584653437,139
"135","E10000016",0.14858393787237,0.248240057873376,100,96,-0.0107348138352236,73,0.208246569578957,103
"136","E10000017",-0.145164127951628,-0.259927026419109,42,50,-0.293155477104103,32,0.117590119668329,91
"137","E10000018",0.33475819967896,0.325671602242462,113,123,0.28124556734883,113,0.397357429445587,130
"138","E10000019",-0.0373281049118417,0.00988559865364998,66,65,-0.055736059900718,68,-0.0661338534884571,70
"139","E10000020",0.192701066609872,0.444500099725216,126,106,0.0083111613927511,77,0.125291938711648,92
"140","E10000021",0.110273732917815,0.170803588836992,89,87,-0.0592452442450161,66,0.219262854161471,106
"141","E10000023",0.23835422532008,0.484822132377057,132,111,-0.135120657355518,53,0.365361200938699,126
"142","E10000024",0.0662143891781407,0.146867303022338,86,78,-0.0485668383657666,70,0.100342702877851,87
"143","E10000025",0.644419199988541,0.781698324633259,147,147,0.482515810172282,135,0.669043465160082,144
"144","E10000027",0.206274317082359,0.287288897844203,107,108,0.0555610671792301,83,0.275972986223646,112
"145","E10000028",0.0764838284451366,0.120631413834415,81,81,-0.11196941960669,60,0.220789491107684,107
"146","E10000029",0.261211736720119,0.39432172960803,121,115,0.219016762112159,105,0.170296718440168,100
"147","E10000030",0.554161709594723,0.622391512639525,140,141,0.428017694343439,131,0.612075921801204,142
"148","E10000031",0.187128288025623,0.352394366581322,116,103,-0.103450249227353,64,0.312440746722901,119
"149","E10000032",0.28763902065146,0.350969444562458,115,118,0.160803589186176,99,0.351144028205747,123
"150","E10000034",0.244643510604054,0.302036850578974,110,113,0.106942175937532,89,0.324951505295655,121
